,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025",Years Remaining 123,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRMRW,Pos. CBCFCMGKLBRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. AMCBCFCMDMGKLBLWRB,Pos. AMCBCFCMDMGKLBRBRM,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRW,Pos. CBCFCMDMGKLBLWRBRMRW,Pos. AMCBCFDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLMRB
113,Lilian Brassier,"€ 1,731","€ 90,000",,"Jul 1, 2021",,,"€ 180,000",,D,,23.0,Starter,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2024",2.0,,,CB,,,,,,,,,
114,Taïryk Arconte,"€ 1,154","€ 60,000",,"Sep 1, 2022",,,"€ 240,000",,F,,19.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2026",4.0,,,RW,,,,,,,,,
115,Karamoko Dembélé,"€ 1,154","€ 60,000",,"Jul 5, 2022",,,"€ 240,000",,F,,19.0,Reserve,England,,,Brest,Ligue 1,2022-2023,"Jun 30, 2026",4.0,,,RW,,,,,,,,,
116,Hugo Magnetti,€ 962,"€ 50,000",,"Dec 12, 2022",,,"€ 200,000",,M,,24.0,Starter,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2026",4.0,,,CM,,,,,,,,,
117,Félix Lemaréchal,€ 962,"€ 50,000",,"Jan 31, 2023",,,"€ 50,000",,M,,19.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2023",1.0,,,CM,,,,,,,,,
118,Bradley Locko,€ 769,"€ 40,000",,"Jan 31, 2023",,,"€ 40,000",,D,,20.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2023",1.0,,,LB,,,,,,,,,
119,Grégoire Coudert,€ 577,"€ 30,000",,"Jul 5, 2021",,,"€ 30,000",,K,,23.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2023",1.0,,,GK,,,,,,,,,
120,Josué Escartin,€ 0,€ 0,,"Aug 9, 2022",,,€ 0,,D,,19.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2025",3.0,,,CB,,,,,,,,,
121,Loïc Rémy,€ 0,€ 0,,"Feb 1, 2023",,,€ 0,,F,,36.0,Reserve,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2023",1.0,,,CF,,,,,,,,,
122,Kenny Lala,€ 0,€ 0,,"Jan 1, 2023",,,€ 0,,D,,31.0,Starter,France,,,Brest,Ligue 1,2022-2023,"Jun 30, 2023",1.0,,,RB,,,,,,,,,
123,Total,"€ 174,618","€ 9,080,000",€ 0,,,,"€ 22,790,000",€ 0,,,,,,,,Brest,Ligue 1,2022-2023,,,,,,,,,,,,,,
124,Maxime Gonalons,"€ 15,000","€ 780,000",,"Jul 1, 2022",,,"€ 1,560,000",,M,,33.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,DM,,,,,,
125,Jérémie Bela,"€ 12,692","€ 660,000",,"Aug 2, 2022",,,"€ 1,320,000",,F,,29.0,Reserve,Angola,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,LW,,,,,,
126,Johan Gastien,"€ 10,385","€ 540,000",,"Aug 11, 2022",,,"€ 1,620,000",,M,,35.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,DM,,,,,,
127,Maximiliano Caufriez,"€ 10,192","€ 530,000",,"Aug 29, 2022",,,"€ 530,000",,D,,25.0,Starter,Belgium,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,CB,,,,,,
128,Neto Borges,"€ 8,654","€ 450,000",,"Jul 1, 2022",,,"€ 900,000",,D,,26.0,Starter,Brazil,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,LB,,,,,,
129,Florent Ogier,"€ 8,077","€ 420,000",,"Jul 13, 2022",,,"€ 840,000",,D,,33.0,Starter,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,CB,,,,,,
130,Mory Diaw,"€ 6,346","€ 330,000",,"Jul 1, 2022",,,"€ 660,000",,K,,29.0,Starter,Senegal,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,GK,,,,,,
131,Alidu Seidu,"€ 5,769","€ 300,000",,"Oct 19, 2022",,,"€ 1,500,000",,D,,22.0,Reserve,Ghana,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,CB,,,,,,
132,Grejohn Kyei,"€ 5,769","€ 300,000",,"Jun 28, 2022",,,"€ 600,000",,F,,27.0,Starter,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,CF,,,,,,
133,Komnen Andric,"€ 5,769","€ 300,000",,"Jul 15, 2022",,,"€ 900,000",,F,,27.0,Starter,Serbia,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,CF,,,,,,
134,Mateusz Wieteska,"€ 5,192","€ 270,000",,"Jul 25, 2022",,,"€ 1,080,000",,D,,25.0,Starter,Poland,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,CB,,,,,,
135,Muhammed Cham,"€ 5,192","€ 270,000",,"Aug 17, 2022",,,"€ 1,080,000",,F,,22.0,Starter,Austria,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,AM,,,,,,
136,Mehdi Zeffane,"€ 4,615","€ 240,000",,"Jul 1, 2022",,,"€ 480,000",,D,,30.0,Reserve,Algeria,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,RB,,,,,,
137,Yohann Magnin,"€ 3,462","€ 180,000",,"Jul 15, 2022",,,"€ 540,000",,M,,25.0,Starter,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,DM,,,,,,
138,Elbasan Rashani,"€ 2,692","€ 140,000",,"Jul 16, 2021",,,"€ 420,000",,F,,29.0,Reserve,Kosovo,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,LW,,,,,,
139,Jim Allevinah,"€ 2,500","€ 130,000",,"Aug 11, 2021",,,"€ 260,000",,F,,27.0,Starter,Gabon,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,LW,,,,,,
140,Saîf-Eddine Khaoui,"€ 1,923","€ 100,000",,"Aug 14, 2021",,,"€ 100,000",,F,,27.0,Starter,Tunisia,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,AM,,,,,,
141,Baïla Diallo,"€ 1,923","€ 100,000",,"Jan 22, 2021",,,"€ 200,000",,D,,21.0,Reserve,Senegal,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,LB,,,,,,
142,Oliver Kamdem,€ 962,"€ 50,000",,"Jul 1, 2022",,,"€ 50,000",,D,,20.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,RB,,,,,,
143,Lucas Margueron,€ 577,"€ 30,000",,"Jul 2, 2020",,,"€ 30,000",,K,,21.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,GK,,,,,,
144,Souleymane Cissé,€ 577,"€ 30,000",,"Jul 1, 2022",,,"€ 30,000",,D,,20.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,CB,,,,,,
145,Yanis Massolin,€ 577,"€ 30,000",,"Jul 1, 2022",,,"€ 90,000",,M,,20.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,CM,,,,,,
146,Ouparine Djoco,€ 385,"€ 20,000",,"Dec 21, 2020",,,"€ 60,000",,K,,24.0,Reserve,France,,,Clermont,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,GK,,,,,,
147,Total,"€ 119,230","€ 6,200,000",€ 0,,,,"€ 14,850,000",€ 0,,,,,,,,Clermont,Ligue 1,2022-2023,,,,,,,,,,,,,,
148,Angelo Fulgini,"€ 35,000","€ 1,820,000",,"Jan 31, 2023",,,"€ 1,820,000",,F,,26.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,AM,,,,,
149,Seko Fofana,"€ 34,615","€ 1,800,000",,"Aug 31, 2022",,,"€ 5,400,000",,M,,27.0,Starter,Cote d'Ivoire,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,CM,,,,,
150,Alexis Claude-Maurice,"€ 23,077","€ 1,200,000",,"Aug 31, 2022",,,"€ 1,200,000",,F,,24.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,AM,,,,,
151,Brice Samba,"€ 23,077","€ 1,200,000",,"Jul 5, 2022",,,"€ 6,000,000",,K,,28.0,Starter,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,GK,,,,,
152,Adam Buksa,"€ 19,615","€ 1,020,000",,"Jul 1, 2022",,,"€ 5,100,000",,F,,26.0,Reserve,Poland,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,CF,,,,,
153,Loïs Openda,"€ 16,154","€ 840,000",,"Jul 6, 2022",,,"€ 4,200,000",,F,,22.0,Starter,Belgium,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,CF,,,,,
154,Jimmy Cabot,"€ 13,846","€ 720,000",,"Jul 1, 2022",,,"€ 2,880,000",,M,,28.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,RM,,,,,
155,Kevin Danso,"€ 9,615","€ 500,000",,"Aug 6, 2021",,,"€ 2,000,000",,D,,24.0,Starter,Austria,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,CB,,,,,
156,Wuilker Fariñez,"€ 9,038","€ 470,000",,"Jul 1, 2021",,,"€ 940,000",,K,,24.0,Reserve,Venezuela,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,GK,,,,,
157,Wesley Saïd,"€ 8,269","€ 430,000",,"Jan 17, 2023",,,"€ 1,720,000",,F,,27.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,CF,,,,,
158,Jean Onana,"€ 8,077","€ 420,000",,"Sep 1, 2022",,,"€ 2,100,000",,M,,23.0,Reserve,Cameroon,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,DM,,,,,
159,Deiver Machado,"€ 6,538","€ 340,000",,"Jan 31, 2023",,,"€ 1,360,000",,D,,29.0,Starter,Colombia,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,LB,,,,,
160,Jean-Louis Leca,"€ 6,538","€ 340,000",,"Dec 16, 2022",,,"€ 680,000",,K,,37.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,GK,,,,,
161,Steven Fortes,"€ 5,962","€ 310,000",,"Jul 1, 2019",,,"€ 310,000",,D,,30.0,Reserve,Cape Verde,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,CB,,,,,
162,Przemyslaw Frankowski,"€ 5,577","€ 290,000",,"Aug 5, 2021",,,"€ 1,160,000",,M,,27.0,Reserve,Poland,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,RM,,,,,
163,Salis Abdul Samed,"€ 5,192","€ 270,000",,"Jul 1, 2022",,,"€ 1,350,000",,M,,22.0,Starter,Ghana,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,DM,,,,,
164,Florian Sotoca,"€ 4,615","€ 240,000",,"Jan 24, 2023",,,"€ 960,000",,F,,32.0,Starter,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,CF,,,,,
165,Massadio Haidara,"€ 4,615","€ 240,000",,"Dec 28, 2022",,,"€ 720,000",,D,,30.0,Reserve,Mali,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,LB,,,,,
166,Jonathan Gradit,"€ 3,269","€ 170,000",,"Feb 2, 2023",,,"€ 340,000",,D,,30.0,Starter,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,CB,,,,,
167,Facundo Medina,"€ 2,308","€ 120,000",,"Jan 18, 2023",,,"€ 480,000",,D,,23.0,Starter,Argentina,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,CB,,,,,
168,Lukasz Poreba,"€ 1,731","€ 90,000",,"Jul 1, 2022",,,"€ 450,000",,M,,22.0,Reserve,Poland,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,DM,,,,,
169,Yannick Pandor,"€ 1,154","€ 60,000",,"Jan 17, 2023",,,"€ 240,000",,K,,21.0,Reserve,Comoros,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,GK,,,,,
170,David Costa,€ 577,"€ 30,000",,"May 11, 2021",,,"€ 60,000",,F,,22.0,Reserve,Portugal,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,AM,,,,,
171,Adrien Louveau,€ 577,"€ 30,000",,"Jun 27, 2022",,,"€ 30,000",,D,,23.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,CB,,,,,
172,Mamadou Camara,€ 385,"€ 20,000",,"Jul 2, 2021",,,"€ 40,000",,M,,20.0,Reserve,Senegal,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,CM,,,,,
173,Ismaël Boura,€ 385,"€ 20,000",,"Apr 19, 2020",,,"€ 20,000",,D,,22.0,Reserve,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,LB,,,,,
174,Adrien Thomasson,€ 0,€ 0,,"Jan 12, 2023",,,€ 0,,F,,29.0,Starter,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,AM,,,,,
175,Julien Le Cardinal,€ 0,€ 0,,"Nov 15, 2022",,,€ 0,,D,,25.0,Starter,France,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,RB,,,,,
176,Yaya Fofana,€ 0,€ 0,,"Aug 12, 2022",,,€ 0,,M,,18.0,Reserve,Mali,,,Lens,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,CM,,,,,
177,Total,"€ 249,806","€ 12,990,000",€ 0,,,,"€ 41,560,000",€ 0,,,,,,,,Lens,Ligue 1,2022-2023,,,,,,,,,,,,,,
178,André Gomes,"€ 130,000","€ 6,760,000",,"Sep 1, 2022",,,"€ 6,760,000",,M,,29.0,Reserve,Portugal,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CM,,,,
179,Adam Ounas,"€ 52,500","€ 2,730,000",,"Sep 1, 2022",,,"€ 5,460,000",,F,,26.0,Reserve,Algeria,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,RW,,,,
180,Ismaily,"€ 34,615","€ 1,800,000",,"Aug 4, 2022",,,"€ 1,800,000",,D,,33.0,Reserve,Brazil,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,LB,,,,
181,José Fonte,"€ 32,308","€ 1,680,000",,"May 20, 2022",,,"€ 1,680,000",,D,,39.0,Starter,Portugal,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,CB,,,,
182,Jonathan David,"€ 32,308","€ 1,680,000",,"Aug 11, 2020",,,"€ 5,040,000",,F,,23.0,Starter,Canada,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CF,,,,
183,Benjamin André,"€ 30,000","€ 1,560,000",,"Jan 12, 2023",,,"€ 6,240,000",,M,,32.0,Starter,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,DM,,,,
184,Jonathan Bamba,"€ 27,692","€ 1,440,000",,"Jul 2, 2018",,,"€ 1,440,000",,F,,26.0,Starter,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,LW,,,,
185,Rémy Cabella,"€ 26,538","€ 1,380,000",,"Jul 10, 2022",,,"€ 1,380,000",,F,,32.0,Starter,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,AM,,,,
186,Edon Zhegrova,"€ 23,077","€ 1,200,000",,"Jan 14, 2022",,,"€ 4,800,000",,F,,23.0,Starter,Kosovo,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,RW,,,,
187,Jonas Martin,"€ 17,308","€ 900,000",,"Jul 1, 2022",,,"€ 1,800,000",,M,,32.0,Reserve,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,DM,,,,
188,Alexsandro,"€ 15,000","€ 780,000",,"Jul 1, 2022",,,"€ 3,120,000",,D,,23.0,Reserve,Brazil,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CB,,,,
189,Mohamed Bayo,"€ 13,846","€ 720,000",,"Jul 13, 2022",,,"€ 3,600,000",,F,,24.0,Reserve,Guinea,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,CF,,,,
190,Angel Gomes,"€ 13,654","€ 710,000",,"Aug 9, 2020",,,"€ 2,130,000",,F,,22.0,Starter,England,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,AM,,,,
191,Timothy Weah,"€ 13,462","€ 700,000",,"Jul 1, 2019",,,"€ 1,400,000",,F,,22.0,Starter,United States,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,RW,,,,
192,Gabriel Gudmundsson,"€ 7,692","€ 400,000",,"Aug 31, 2021",,,"€ 1,600,000",,D,,23.0,Reserve,Sweden,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,LB,,,,
193,Bafodé Diakité,"€ 6,923","€ 360,000",,"Aug 5, 2022",,,"€ 1,440,000",,D,,22.0,Starter,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CB,,,,
194,Tiago Djaló,"€ 6,346","€ 330,000",,"Aug 1, 2019",,,"€ 660,000",,D,,22.0,Starter,Portugal,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2024",2.0,,,CB,,,,
195,Alan Virginius,"€ 5,192","€ 270,000",,"Aug 17, 2022",,,"€ 1,350,000",,F,,20.0,Reserve,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,LW,,,,
196,Adam Jakubech,"€ 4,808","€ 250,000",,"Jul 26, 2017",,,"€ 750,000",,K,,26.0,Reserve,Slovakia,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,GK,,,,
197,Lucas Chevalier,"€ 3,269","€ 170,000",,"Jan 30, 2023",,,"€ 850,000",,K,,21.0,Starter,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,,,GK,,,,
198,Carlos Baleba,"€ 1,731","€ 90,000",,"Jan 14, 2022",,,"€ 360,000",,M,,19.0,Reserve,Cameroon,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2026",4.0,,,CM,,,,
199,Leny Yoro,"€ 1,154","€ 60,000",,"Jul 1, 2022",,,"€ 180,000",,D,,17.0,Reserve,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,CB,,,,
200,Benoît Costil,€ 0,€ 0,,"Jan 26, 2023",,,€ 0,,K,,35.0,Reserve,France,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2023",1.0,,,GK,,,,
201,Akim Zedadka,€ 0,€ 0,,"Jul 1, 2022",,,€ 0,,D,,27.0,Reserve,Algeria,,,Lille,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,,,RB,,,,
202,Total,"€ 499,423","€ 25,970,000",€ 0,,,,"€ 53,840,000",€ 0,,,,,,,,Lille,Ligue 1,2022-2023,,,,,,,,,,,,,,
203,Romain Faivre,"€ 23,077","€ 1,200,000",,"Jan 28, 2023",,,"€ 1,200,000",,M,,24.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,RM,,"Jun 30, 2023",1.0,,,,,,,
204,Julian Pollersbeck,"€ 19,423","€ 1,010,000",,"Jan 31, 2023",,,"€ 1,010,000",,K,,28.0,Reserve,Germany,,,Lorient,Ligue 1,2022-2023,,,,GK,,"Jun 30, 2023",1.0,,,,,,,
205,Igor Silva,"€ 18,269","€ 950,000",,"Jul 23, 2021",,,"€ 3,800,000",,D,,26.0,Reserve,Brazil,,,Lorient,Ligue 1,2022-2023,,,,RB,,"Jun 30, 2026",4.0,,,,,,,
206,Yvon Mvogo,"€ 13,846","€ 720,000",,"Jul 13, 2022",,,"€ 1,440,000",,K,,28.0,Reserve,Switzerland,,,Lorient,Ligue 1,2022-2023,,,,GK,,"Jun 30, 2024",2.0,,,,,,,
207,Montassar Talbi,"€ 10,962","€ 570,000",,"Jul 18, 2022",,,"€ 1,710,000",,D,,24.0,Starter,Tunisia,,,Lorient,Ligue 1,2022-2023,,,,CB,,"Jun 30, 2025",3.0,,,,,,,
208,Gédéon Kalulu,"€ 10,385","€ 540,000",,"Jul 1, 2022",,,"€ 2,160,000",,D,,25.0,Starter,Democratic Republic of the Congo,,,Lorient,Ligue 1,2022-2023,,,,RB,,"Jun 30, 2026",4.0,,,,,,,
209,Julien Laporte,"€ 8,462","€ 440,000",,"Dec 1, 2022",,,"€ 1,320,000",,D,,29.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,CB,,"Jun 30, 2025",3.0,,,,,,,
210,Julien Ponceau,"€ 7,500","€ 390,000",,"Jul 29, 2022",,,"€ 1,170,000",,F,,22.0,Starter,France,,,Lorient,Ligue 1,2022-2023,,,,AM,,"Jun 30, 2025",3.0,,,,,,,
211,Adil Aouchiche,"€ 6,923","€ 360,000",,"Sep 1, 2022",,,"€ 1,440,000",,F,,20.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,AM,,"Jun 30, 2026",4.0,,,,,,,
212,Ayman Kari,"€ 5,769","€ 300,000",,"Jan 31, 2023",,,"€ 300,000",,M,,18.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,CM,,"Jun 30, 2023",1.0,,,,,,,
213,Bonke Innocent,"€ 5,192","€ 270,000",,"Jan 18, 2022",,,"€ 810,000",,M,,27.0,Reserve,Nigeria,,,Lorient,Ligue 1,2022-2023,,,,DM,,"Jun 30, 2025",3.0,,,,,,,
214,Ibrahima Koné,"€ 4,808","€ 250,000",,"Jan 31, 2022",,,"€ 1,000,000",,F,,23.0,Starter,Mali,,,Lorient,Ligue 1,2022-2023,,,,CF,,"Jun 30, 2026",4.0,,,,,,,
215,Vincent Le Goff,"€ 4,808","€ 250,000",,"Dec 16, 2022",,,"€ 500,000",,D,,33.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,LB,,"Jun 30, 2024",2.0,,,,,,,
216,Laurent Abergel,"€ 4,615","€ 240,000",,"Jul 1, 2021",,,"€ 720,000",,M,,30.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,DM,,"Jun 30, 2025",3.0,,,,,,,
217,Vito Mannone,"€ 4,615","€ 240,000",,"Sep 1, 2022",,,"€ 240,000",,K,,34.0,Starter,Italy,,,Lorient,Ligue 1,2022-2023,,,,GK,,"Jun 30, 2023",1.0,,,,,,,
218,Stéphane Diarra,"€ 4,231","€ 220,000",,"Jul 1, 2020",,,"€ 660,000",,F,,24.0,Starter,Cote d'Ivoire,,,Lorient,Ligue 1,2022-2023,,,,RW,,"Jun 30, 2025",3.0,,,,,,,
219,Darline Yongwa,"€ 4,038","€ 210,000",,"Jul 1, 2022",,,"€ 840,000",,D,,22.0,Starter,Cameroon,,,Lorient,Ligue 1,2022-2023,,,,LB,,"Jun 30, 2026",4.0,,,,,,,
220,Théo Le Bris,"€ 3,462","€ 180,000",,"Aug 5, 2022",,,"€ 720,000",,D,,20.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,RB,,"Jun 30, 2026",4.0,,,,,,,
221,Enzo Le Fée,"€ 1,923","€ 100,000",,"Jun 27, 2020",,,"€ 200,000",,F,,22.0,Starter,France,,,Lorient,Ligue 1,2022-2023,,,,AM,,"Jun 30, 2024",2.0,,,,,,,
222,Siriné Doucouré,"€ 1,731","€ 90,000",,"Sep 1, 2022",,,"€ 360,000",,F,,20.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,CF,,"Jun 30, 2026",4.0,,,,,,,
223,Bamo Meïté,€ 962,"€ 50,000",,"Jun 1, 2022",,,"€ 150,000",,M,,21.0,Starter,Cote d'Ivoire,,,Lorient,Ligue 1,2022-2023,,,,DM,,"Jun 30, 2025",3.0,,,,,,,
224,Teddy Bartouche,€ 577,"€ 30,000",,"Oct 26, 2021",,,"€ 30,000",,K,,25.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,GK,,"Jun 30, 2023",1.0,,,,,,,
225,Jean-Victor Makengo,€ 0,€ 0,,"Jan 30, 2023",,,€ 0,,M,,24.0,Starter,France,,,Lorient,Ligue 1,2022-2023,,,,CM,,"Jun 30, 2027",5.0,,,,,,,
226,Maxime Wackers,€ 0,€ 0,,"Aug 3, 2022",,,€ 0,,D,,25.0,Reserve,France,,,Lorient,Ligue 1,2022-2023,,,,CB,,"Jun 30, 2023",1.0,,,,,,,
227,Yoann Cathline,€ 0,€ 0,,"Sep 5, 2022",,,€ 0,,F,,20.0,Starter,France,,,Lorient,Ligue 1,2022-2023,,,,LW,,"Jun 30, 2027",5.0,,,,,,,
228,Bamba Dieng,€ 0,€ 0,,"Jan 27, 2023",,,€ 0,,F,,22.0,Reserve,Senegal,,,Lorient,Ligue 1,2022-2023,,,,CF,,"Jun 30, 2025",3.0,,,,,,,
229,Total,"€ 165,578","€ 8,610,000",€ 0,,,,"€ 21,780,000",€ 0,,,,,,,,Lorient,Ligue 1,2022-2023,,,,,,,,,,,,,,
230,Alexandre Lacazette,"€ 96,154","€ 5,000,000",,"Jul 1, 2022",,,"€ 15,000,000",,F,,31.0,Starter,France,,,Lyon,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,CF,,,,,,
231,Anthony Lopes,"€ 92,308","€ 4,800,000",,"Jun 7, 2022",,,"€ 14,400,000",,K,,32.0,Starter,Portugal,,,Lyon,Ligue 1,2022-2023,,,,,,"Jun 30, 2025",3.0,GK,,,,,,
232,Corentin Tolisso,"€ 92,308","€ 4,800,000",,"Jul 1, 2022",,,"€ 24,000,000",,M,,28.0,Starter,France,,,Lyon,Ligue 1,2022-2023,,,,,,"Jun 30, 2027",5.0,CM,,,,,,
